     0.000     0.000
     0.500     0.951
     1.000     1.804
     1.500     2.559
     2.000     3.216
     2.500     3.775
     3.000     4.236
     3.500     4.599
     4.000     4.864
     4.500     5.031
     5.000     5.100
     5.500     5.071
     6.000     4.944
     6.500     4.719
     7.000     4.396
     7.500     3.975
     8.000     3.456
     8.500     2.839
     9.000     2.124
     9.500     1.311
    10.000     0.400
    10.500    -0.609
    11.000    -1.716
    11.500    -2.921
    12.000    -4.224
    12.500    -5.625
    13.000    -7.124
    13.500    -8.721
    14.000   -10.416
    14.500   -12.209
    15.000   -14.100
    15.500   -16.089
    16.000   -18.176
    16.500   -20.361
    17.000   -22.644
    17.500   -25.025
    18.000   -27.504
    18.500   -30.081
    19.000   -32.756
    19.500   -35.529
    20.000   -38.400
    20.500   -41.369
    21.000   -44.436
    21.500   -47.601
    22.000   -50.864
    22.500   -54.225
    23.000   -57.684
    23.500   -61.241
    24.000   -64.896
    24.500   -68.649
    25.000   -72.500
