    -0.000     0.000
 
 
    -0.000     0.000
    -0.500     0.240
 
 
    -0.000     0.000
    -0.500     0.240
    -1.000     0.381
 
 
    -0.000     0.000
    -0.500     0.240
    -1.000     0.381
    -1.500     0.425
 
 
    -0.000     0.000
    -0.500     0.240
    -1.000     0.381
    -1.500     0.425
    -2.000     0.371
 
 
    -0.000     0.000
    -0.500     0.240
    -1.000     0.381
    -1.500     0.425
    -2.000     0.371
    -2.500     0.218
 
 
    -0.000     0.000
    -0.500     0.240
    -1.000     0.381
    -1.500     0.425
    -2.000     0.371
    -2.500     0.218
    -3.000    -0.032
 
 
    -0.000     0.000
    -0.500     0.240
    -1.000     0.381
    -1.500     0.425
    -2.000     0.371
    -2.500     0.218
    -3.000    -0.032
    -3.500    -0.380
 
 
    -0.000     0.000
    -0.500     0.240
    -1.000     0.381
    -1.500     0.425
    -2.000     0.371
    -2.500     0.218
    -3.000    -0.032
    -3.500    -0.380
    -4.000    -0.827
 
 
    -0.000     0.000
    -0.500     0.240
    -1.000     0.381
    -1.500     0.425
    -2.000     0.371
    -2.500     0.218
    -3.000    -0.032
    -3.500    -0.380
    -4.000    -0.827
    -4.500    -1.371
 
 
    -0.000     0.000
    -0.500     0.240
    -1.000     0.381
    -1.500     0.425
    -2.000     0.371
    -2.500     0.218
    -3.000    -0.032
    -3.500    -0.380
    -4.000    -0.827
    -4.500    -1.371
    -5.000    -2.013
 
 
    -0.000     0.000
    -0.500     0.240
    -1.000     0.381
    -1.500     0.425
    -2.000     0.371
    -2.500     0.218
    -3.000    -0.032
    -3.500    -0.380
    -4.000    -0.827
    -4.500    -1.371
    -5.000    -2.013
    -5.500    -2.754
 
 
    -0.000     0.000
    -0.500     0.240
    -1.000     0.381
    -1.500     0.425
    -2.000     0.371
    -2.500     0.218
    -3.000    -0.032
    -3.500    -0.380
    -4.000    -0.827
    -4.500    -1.371
    -5.000    -2.013
    -5.500    -2.754
    -6.000    -3.592
 
 
    -0.000     0.000
    -0.500     0.240
    -1.000     0.381
    -1.500     0.425
    -2.000     0.371
    -2.500     0.218
    -3.000    -0.032
    -3.500    -0.380
    -4.000    -0.827
    -4.500    -1.371
    -5.000    -2.013
    -5.500    -2.754
    -6.000    -3.592
    -6.500    -4.528
 
 
    -0.000     0.000
    -0.500     0.240
    -1.000     0.381
    -1.500     0.425
    -2.000     0.371
    -2.500     0.218
    -3.000    -0.032
